Asset_ID,Name Sort Not sorted  Name,Version Sort Not sorted  Version,Software Manufacturer Sort Not sorted  Software Manufacturer,Type Sort Not sorted  Type,Installation Date Sort Not sorted  Installation Date,Installation Directory Sort Not sorted  Installation Directory,File Count Sort Not sorted  File Count
13292,"""ApplyTrustOffline.PROGRAM""",10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SoftwareDistribution\Download\a7d4b681d591b3f31e9d99c9266fdd8b\Package_for_RollupFix~~amd64~~26100.2605.1.12\amd64_microsoft-windows-appx-deployment-server_31bf3856ad364e35_10.0.26100.2605_none_fcfb1d9466bf6f5a,1.0
13292,"""nvspinfo.PROGRAM""",10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SoftwareDistribution\Download\a7d4b681d591b3f31e9d99c9266fdd8b\Package_for_RollupFix~~amd64~~26100.2605.1.12\amd64_microsoft-hyper-v-d..s-vmswitch-netsetup_31bf3856ad364e35_10.0.26100.2605_none_20139b330b63c4ed,1.0
13292,.NET Framework,3.0,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation,2.0
13292,.NET Runtime Optimization Service,2.0,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v2.0.50727,2.0
13292,.NET Runtime Optimization Service,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0
13292,64Bit MAPI Mail Agent,1.0,Foxit Software Inc.,Application,,C:\Program Files (x86)\Foxit Software\Foxit PDF Reader,1.0
13292,7-Zip 24.09 (x64),24.09,Igor Pavlov,Add/Remove Programs,,C:\Program Files\7-Zip\,
13292,7-Zip Console,24.09,Igor Pavlov,Application,,C:\Program Files\7-Zip,1.0
13292,7-Zip File Manager,24.09,Igor Pavlov,Application,,C:\Program Files\7-Zip,1.0
13292,7-Zip GUI,24.09,Igor Pavlov,Application,,C:\Program Files\7-Zip,1.0
13292,Accessibility On-Screen Keyboard,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SoftwareDistribution\Download\a7d4b681d591b3f31e9d99c9266fdd8b\Package_for_RollupFix~~amd64~~26100.2605.1.12\amd64_microsoft-windows-osk_31bf3856ad364e35_10.0.26100.2454_none_46835ae509f15182,1.0
13292,Accessibility shortcut keys,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SoftwareDistribution\Download\a7d4b681d591b3f31e9d99c9266fdd8b\Package_for_RollupFix~~amd64~~26100.2605.1.12\wow64_microsoft-windows-sethc_31bf3856ad364e35_10.0.26100.2454_none_08db70c4597eb04d,2.0
13292,Accounts Control Host,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy,2.0
13292,Acquire IMDS response,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SoftwareDistribution\Download\a7d4b681d591b3f31e9d99c9266fdd8b\Package_for_RollupFix~~amd64~~26100.2605.1.12\amd64_microsoft-client-li..e-flexible-platform_31bf3856ad364e35_10.0.26100.2454_none_dd684df02e3d0382,1.0
13292,Acquire License From Store,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SoftwareDistribution\Download\a7d4b681d591b3f31e9d99c9266fdd8b\Package_for_RollupFix~~amd64~~26100.2605.1.12\amd64_microsoft-client-li..pgrade-subscription_31bf3856ad364e35_10.0.26100.2454_none_ed3589b6d83e4ae9,1.0
13292,AddSuggestedFoldersToLibraryDialog,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy,1.0
13292,AgentService EXE,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SoftwareDistribution\Download\a7d4b681d591b3f31e9d99c9266fdd8b\Package_for_RollupFix~~amd64~~26100.2605.1.12\amd64_microsoft-windows-a..nagement-uevservice_31bf3856ad364e35_10.0.26100.2454_none_196ab1cbda3910b1,1.0
13292,Antimalware Core Service,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0
13292,AntiMalware Definition Update,1.421,Microsoft Corporation Inc.,Application,,C:\Windows\SystemTemp\A9E5973E-5740-463F-8EFA-ECC9A76DBED9MpCommU,1.0
13292,Antimalware Service Executable,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0
13292,API for MDM Enrollment,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SoftwareDistribution\Download\a7d4b681d591b3f31e9d99c9266fdd8b\Package_for_RollupFix~~amd64~~26100.2605.1.12\amd64_microsoft-windows-deviceenroller_31bf3856ad364e35_10.0.26100.2454_none_5d0bd923bd4db8b0,1.0
13292,Application Frame Host,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SoftwareDistribution\Download\a7d4b681d591b3f31e9d99c9266fdd8b\Package_for_RollupFix~~amd64~~26100.2605.1.12\amd64_microsoft-windows-s..plicationframe-host_31bf3856ad364e35_10.0.26100.2454_none_7573ba89dcffcfac,1.0
